Key,English,Russian,Hindi,Spanish,Portuguese
Logotype,Puzzles for Kids Funny Animals!,Пазлы для детей Забавные животные!,बच्चों के लिए पहेलियाँ अजीब जानवर!,Puzzles para niños animales divertidos!,Quebra-cabeças para crianças Animais engraçados!
Logo.Shade,Puzzles for Kids Funny Animals!,Пазлы для детей Забавные животные!,बच्चों के लिए पहेलियाँ अजीब जानवर!,Puzzles para niños animales divertidos!,Quebra-cabeças para crianças Animais engraçados!
Settings.Title,Settings,Настройки,सेटिंग्स,Ajustes,Definições
Settings.Language,"Choose language:","Выберите язык:","भाषा चुनें:","Elige lengua:","Escolha o seu idioma:"
Settings.Eng,English,English,English,English,English
Settings.Rus,Русский,Русский,Русский,Русский,Русский
Settings.Es,Español,Español,Español,Español,Español
Settings.Pt,Português,Português,Português,Português,Português
Settings.Hi,हिन्दी,हिन्दी,हिन्दी,हिन्दी,हिन्दी
Settings.Music,"Music:","Музыка","संगीत:","Música:","Música:"
Settings.Sound,"Sound:","Звуки","ध्वनि:","Sonar:","Som:"
Review.Title,Some carrot for bunny,Оценить игру,बनी के लिए कुछ गाजर,Un poco de zanahoria para conejito,Alguma cenoura para coelho
Review.Text,If you liked the app please post a review of it! We and the bunny will greatly appreciate it!,Если вам понравилась игра пожалуйста напишите ваш отзыв в PlayMarket -  мы будем очень рады!,यदि आपको ऐप पसंद आया है तो कृपया इसकी समीक्षा करें! हम और बनी बहुत सराहना करेंगे!,Si te gustó la aplicación por favor publica una reseña de ella! ¡Nosotros y el conejito lo apreciaremos grandemente!,Se você gostou do aplicativo por favor poste uma revisão dele! Nós e o coelho apreciaremos muito!
Review.Go,Review now!,Оценить,अब समीक्षा करें!,Revise ahora!,Revise agora!
Review.Close,Close,Закрыть,बंद करे,Cerrar,Perto
About.Title,About,Об игре,के बारे में,Acerca de,Sobre
About.Text,Any suggestions or technical difficulties? Write to our support team and we will answer you:,Есть предложения или возникли технические сложности? Напишите в нашу службу поддержки и мы обязательно вам ответим:,किसी भी सुझाव या तकनीकी कठिनाइयों? हमारी समर्थन टीम को लिखें और हम आपको जवाब देंगे।:,¿Alguna sugerencia o dificultad técnica? Escriba a nuestro equipo de soporte y le responderemos:,Alguma sugestão ou dificuldades técnicas? Escreva para nossa equipe de suporte e nós responderemos:
About.OK,OK,Закрыть,ठीक,DE ACUERDO,Está bem
Animal.Bat,Bat,Летучая мышь,बाट,Bate,Morcego
Animal.Bear,Bear,Медведь,भालू,Oso,Urso
Animal.Cat,Cat,Кошка,बिल्ली,Gato,Gato
Animal.Chameleon,Chameleon,Хамелеон,गिरगिट,Camaleón,Camaleao
Animal.Cheetah,Cheetah,Гепард,तेंदुए,Leopard,Leopardo
Animal.Cow,Cow,Корова,गाय,Vaca,Boi
Animal.Dog,Dog,Собака,कुत्ता,Perro,Cao
Animal.Donkey,Donkey,Осёл,गधा,Burro,Burro
Animal.Eagle,Eagle,Орёл,ईगल,Águila,Aguia
Animal.Elephant,Elephant,Слон,हाथी,Elefante,Elefante
Animal.Fish,Fish,Рыба,मछली,Pescado,Peixe
Animal.Fox,Fox,Лиса,लोमड़ी,Fox,Raposa
Animal.Hamster,Hamster,Хомяк,हम्सटर,Hámster,Hamster
Animal.Hedgehog,Hedgehog,Ёж,हेजहॉग,Erizo,Ourico
Animal.Jiraffe,Jiraffe,Жираф,जिराफ,Giraffe,Girafa
Animal.Lemur,Lemur,Лемур,लेमुर,Lémur,Lemur
Animal.Leo,Lion,Лев,शेर,Leones,Leão
Animal.Monkey,Monkey,Обезьяна,बंदर,Mono,Macaco
Animal.Owl,Owl,Сова,उल्लू,Buho,Coruja
Animal.Panda,Panda,Панда,पांडा,Panda,Panda
Animal.Parrot,Parrot,Попугай,तोता,Loro,Papagaio
Animal.Penguin,Penguin,Пингвин,पेंगुइन,Pingüino,Pinguim
Animal.Pig,Pig,Свинья,सुअर,Cerdo,Porco
Animal.Rabbit,Rabbit,Кролик,खरगोश,Liebre,Lebre
Animal.Racoon,Racoon,Енот,एक प्रकार का जानवर,Mapache,Guaxinim
Animal.Sloth,Sloth,Ленивец,स्लॉथ,Perezoso,Preguiça
Animal.Squirrel,Squirrel,Белка,गिलहरी,Ardilla,Esquilo
Animal.Tiger,Tiger,Тигр,दजला,Tigris,Tigris
Animal.Turtle,Turtle,Черепаха,कछुआ,Tortuga,Tartaruga
Animal.Whale,Whale,Кит,व्हेल,Ballena,Baleia
Subscription.About,Thank you for subscription!,Спасибо за подписку!,सदस्यता के लिए धन्यवाद!,¡Gracias por la suscripción!,Obrigado por assinatura!
Subscription.Top,Congratulations!,Поздравляем!,बधाई हो!,¡Felicidades!,Parabéns!
Divider.Animals,Animals,Животные,जानवरों,animales,animais
Divider.Cars,Cars,Машинки,कारें,coches,carros
Divider.Dinos,Dinos,Динозавры,डायनासोर,dinosaurios,dinossauros
Construction.One,"Sorry, this section is under construction","Извините, раздел находится в разработке","क्षमा करें, इस खंड निर्माणाधीन है","Lo sentimos, esta sección está en construcción","Desculpe, esta seção está em construção"
Construction.Two,"For you soon will open even more interesting and surprising, so stay tuned!","Скоро для вас откроется ещё больше интересного и удивительного, оставайтесь с нами!","आप के लिए जल्द ही और भी दिलचस्प और आश्चर्य की बात खुल जाएगा, इसलिए तैयार रहें!","Para que pronto se abrirá aún más interesante y sorprendente, así que estad atentos!","Para você em breve vai abrir ainda mais interessante e surpreendente, portanto, fique atento!"
Game.Restart,Disassemble,Разобрать,अलग करना,Desmontar,Desmontar
